id,longitude,latitude,centrality
1,-0.2801,51.5028,0.42857142857142855
2,-0.0755,51.5143,0.14285714285714285
3,-0.0726,51.5154,0.2857142857142857
5,-0.2997,51.5407,0.14285714285714285
7,-0.1058,51.5322,0.14285714285714285
8,-0.1353,51.5653,0.14285714285714285
9,-0.1331,51.6164,0.14285714285714285
10,-0.1059,51.5586,0.14285714285714285
11,-0.1571,51.5226,0.8571428571428571
12,-0.1525,51.4431,0.14285714285714285
13,-0.0886,51.5133,0.7142857142857143
14,-0.0979,51.5204,0.14285714285714285
15,0.081,51.5396,0.14285714285714285
16,0.0887,51.5856,0.14285714285714285
17,-0.2139,51.4905,0.2857142857142857
18,-0.1879,51.5121,0.14285714285714285
21,0.127,51.5403,0.14285714285714285
22,-0.1642,51.5504,0.14285714285714285
24,-0.0549,51.527,0.14285714285714285
26,-0.0417,51.5867,0.14285714285714285
28,-0.1494,51.5142,0.42857142857142855
29,-0.0943,51.5011,0.14285714285714285
30,-0.325,51.4956,0.14285714285714285
31,-0.1243,51.6071,0.14285714285714285
33,-0.0247,51.5269,0.14285714285714285
34,-0.2136,51.5766,0.14285714285714285
36,-0.0119,51.5248,0.14285714285714285
38,-0.2641,51.6028,0.14285714285714285
39,-0.1188,51.5481,0.14285714285714285
40,-0.1426,51.5392,0.42857142857142855
42,-0.0209,51.5051,0.14285714285714285
44,-0.0904,51.5113,0.14285714285714285
45,-0.2947,51.6078,0.14285714285714285
47,-0.1538,51.5441,0.14285714285714285
48,-0.1111,51.5185,0.14285714285714285
49,-0.1247,51.508,0.2857142857142857
51,0.0755,51.6177,0.14285714285714285
52,-0.2678,51.4946,0.14285714285714285
54,-0.1384,51.4618,0.14285714285714285
55,-0.1299,51.4649,0.14285714285714285
56,-0.14800000000000002,51.4527,0.14285714285714285
58,-0.2502,51.5955,0.14285714285714285
59,-0.1778,51.418,0.14285714285714285
60,-0.1243,51.5129,0.14285714285714285
66,0.1655,51.5443,0.14285714285714285
67,0.1469,51.5417,0.14285714285714285
71,-0.2387,51.552,0.14285714285714285
72,-0.3017,51.5152,0.14285714285714285
73,-0.2882,51.5101,0.2857142857142857
74,-0.1973,51.492,0.5714285714285714
75,-0.397,51.5765,0.14285714285714285
76,-0.2474,51.5168,0.14285714285714285
77,-0.165,51.5874,0.14285714285714285
78,0.0518,51.5394,0.14285714285714285
80,-0.2112,51.4586,0.14285714285714285
81,-0.275,51.6137,0.0
82,-0.1679,51.5199,0.14285714285714285
83,-0.17,51.5203,0.14285714285714285
84,-0.1001,51.4943,0.2857142857142857
85,0.1977,51.5496,0.14285714285714285
87,-0.1223,51.5074,0.42857142857142855
89,-0.1337,51.5282,0.42857142857142855
90,-0.1359,51.526,0.14285714285714285
91,0.0912,51.596000000000004,0.14285714285714285
92,-0.1053,51.5203,0.14285714285714285
93,-0.1932,51.6012,0.2857142857142857
94,-0.1803,51.5472,0.42857142857142855
95,-0.1065,51.5642,0.42857142857142855
96,-0.195,51.4804,0.14285714285714285
98,0.0663,51.5765,0.14285714285714285
99,-0.1829,51.4945,0.2857142857142857
100,-0.1941,51.5724,0.14285714285714285
101,-0.2267,51.5018,0.14285714285714285
102,-0.1347,51.5205,0.14285714285714285
103,0.0923,51.6132,0.14285714285714285
104,-0.1439,51.5238,0.14285714285714285
105,-0.3456,51.5423,0.14285714285714285
107,-0.1428,51.5067,0.7142857142857143
108,-0.2754,51.4915,0.14285714285714285
109,0.0933,51.603,0.14285714285714285
110,-0.2251,51.4936,0.42857142857142855
111,-0.17800000000000002,51.5568,0.14285714285714285
112,-0.2933,51.5302,0.14285714285714285
113,-0.2575,51.5362,0.0
114,-0.3351,51.5925,0.0
115,-0.3366,51.5793,0.2857142857142857
116,-0.4227,51.4669,0.2857142857142857
117,-0.4524,51.4713,0.14285714285714285
118,-0.4476,51.4598,0.14285714285714285
119,-0.2259,51.5829,0.14285714285714285
122,-0.1925,51.5009,0.2857142857142857
123,-0.10400000000000001,51.54600000000001,0.14285714285714285
124,-0.1458,51.5777,0.14285714285714285
125,-0.4499,51.5538,0.14285714285714285
126,-0.12,51.5174,0.42857142857142855
127,-0.20600000000000002,51.5075,0.14285714285714285
128,-0.1132,51.5526,0.14285714285714285
129,0.2184,51.5539,0.14285714285714285
130,-0.3665,51.4713,0.14285714285714285
131,-0.3564,51.4733,0.14285714285714285
132,-0.3855,51.4734,0.14285714285714285
133,-0.1527,51.5027,0.14285714285714285
134,-0.4421,51.5619,0.14285714285714285
136,-0.1053,51.4884,0.2857142857142857
137,-0.225,51.5304,0.0
139,-0.1402,51.5507,0.14285714285714285
141,-0.285,51.477,0.0
142,-0.2047,51.5471,0.14285714285714285
143,-0.1939,51.5351,0.14285714285714285
144,-0.2786,51.5846,0.14285714285714285
145,-0.1238,51.5308,0.8571428571428571
146,-0.1607,51.5015,0.14285714285714285
147,-0.2107,51.5172,0.14285714285714285
148,-0.1115,51.4991,0.14285714285714285
149,-0.1756,51.5119,0.14285714285714285
150,-0.2172,51.5139,0.2857142857142857
151,-0.1281,51.5113,0.42857142857142855
153,-0.0053,51.5566,0.14285714285714285
154,0.0083,51.5683,0.2857142857142857
156,-0.0823,51.5178,0.5714285714285714
157,-0.0864,51.5052,0.42857142857142855
159,-0.1854,51.53,0.14285714285714285
160,-0.0958,51.5712,0.14285714285714285
161,-0.094,51.5122,0.0
162,-0.1586,51.5136,0.14285714285714285
163,-0.1631,51.5225,0.14285714285714285
164,-0.0332,51.5249,0.42857142857142855
165,-0.2103,51.6082,0.0
166,-0.0863,51.5108,0.2857142857142857
167,-0.0886,51.5186,0.42857142857142855
168,-0.43200000000000005,51.6294,0.2857142857142857
169,-0.1948,51.4022,0.0
170,-0.1387,51.5342,0.14285714285714285
172,-0.2503,51.5542,0.14285714285714285
173,0.0899,51.5756,0.14285714285714285
176,-0.3142,51.4995,0.14285714285714285
177,-0.3687,51.5483,0.14285714285714285
178,-0.3184,51.5784,0.14285714285714285
179,-0.424,51.6111,0.14285714285714285
180,-0.4092,51.6004,0.14285714285714285
181,-0.2597,51.5237,0.2857142857142857
182,-0.2887,51.5175,0.14285714285714285
184,-0.3626,51.5846,0.14285714285714285
185,-0.3034,51.5621,0.14285714285714285
186,-0.1967,51.5094,0.42857142857142855
188,-0.0873,51.5263,0.14285714285714285
190,-0.3522,51.4813,0.14285714285714285
191,-0.113,51.4819,0.14285714285714285
192,-0.1415,51.515,0.7142857142857143
193,-0.1755,51.5154,0.5714285714285714
194,-0.2841,51.527,0.14285714285714285
